% Moku:Go Frequency Response Analyzer
% Measurement mode: In / Out (dB)
% Channel 1 (on), DC, 30 MHz, 1 MOhm, 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Channel 2 (off), DC, 30 MHz, 1 MOhm, 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Logarithmic sweep from 20.00000 MHz to 10.00000 mHz with 512 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 935.0 ns (auto), normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% 
% Acquired 2026-04-09 T 12:29:47 -0700
% Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
3.28232411e+04, -6.3323e+01, -7.3982e+01
3.14760219e+04, -6.0688e+01, -2.1133e+01
3.01840988e+04, -6.1937e+01, -3.6642e+01
2.89452023e+04, -5.8752e+01, -5.4973e+01
2.77571560e+04, -5.6879e+01, -2.7564e+01
2.66178725e+04, -5.8812e+01, -3.5278e+01
2.55253506e+04, -5.3041e+01, -2.7244e+01
2.44776709e+04, -6.1481e+01, -6.8265e+01
2.34729929e+04, -5.8065e+01, -4.8051e+01
2.25095516e+04, -6.0415e+01, -4.1841e+00
2.15856544e+04, -5.4980e+01, -5.7029e+01
2.06996782e+04, -6.2195e+01, -7.9785e+00
1.98500667e+04, -6.8273e+01, 6.1010e+01
1.90353272e+04, -6.0152e+01, -8.6620e+01
1.82540284e+04, -5.9695e+01, -5.5879e+01
1.75047977e+04, -5.6122e+01, -8.6443e+00
1.67863190e+04, -5.6989e+01, -8.3224e+01
1.60973300e+04, -6.0644e+01, -1.1819e+02
1.54366204e+04, -5.5429e+01, -5.8310e+01
1.48030293e+04, -5.9191e+01, -6.9946e+01
1.41954438e+04, -5.9161e+01, -4.6313e+01
1.36127965e+04, -5.8065e+01, -8.2489e+01
1.30540637e+04, -6.1433e+01, 1.3420e+01
1.25182639e+04, -5.8336e+01, -5.5397e+01
1.20044558e+04, -5.7125e+01, -6.4319e+01
1.15117368e+04, -5.6874e+01, -5.4647e+01
1.10392414e+04, -5.6415e+01, -1.1685e+02
1.05861393e+04, -5.7284e+01, -3.5855e+01
1.01516347e+04, -5.4933e+01, -4.8640e+01
9.73496413e+03, -5.7009e+01, -6.2867e+01
9.33539570e+03, -5.4337e+01, -6.5303e+01
8.95222743e+03, -5.3946e+01, -8.3034e+01
8.58478617e+03, -5.3694e+01, -8.7400e+01
8.23242642e+03, -5.5570e+01, -7.5796e+01
7.89452917e+03, -5.4270e+01, -1.0303e+02
7.57050079e+03, -5.0976e+01, -9.2828e+01
7.25977206e+03, -5.3135e+01, -8.1685e+01
6.96179708e+03, -4.8841e+01, -8.5191e+01
6.67605239e+03, -5.2598e+01, -8.3815e+01
6.40203600e+03, -5.3625e+01, -8.7549e+01
6.13926652e+03, -5.0303e+01, -8.3469e+01
5.88728232e+03, -5.0511e+01, -9.1115e+01
5.64564074e+03, -5.0894e+01, -8.5233e+01
5.41391726e+03, -5.1502e+01, -7.7037e+01
5.19170479e+03, -4.7204e+01, -7.0835e+01
4.97861296e+03, -4.9247e+01, -9.3348e+01
4.77426741e+03, -5.0207e+01, -8.2343e+01
4.57830916e+03, -4.8072e+01, -7.2054e+01
4.39039396e+03, -4.6438e+01, -8.0926e+01
4.21019167e+03, -4.8738e+01, -8.8308e+01
4.03738573e+03, -4.7612e+01, -7.7589e+01
3.87167255e+03, -4.4425e+01, -8.9794e+01
3.71276101e+03, -4.6555e+01, -8.1873e+01
3.56037194e+03, -4.7423e+01, -6.8096e+01
3.41423764e+03, -4.6156e+01, -8.1858e+01
3.27410137e+03, -4.7046e+01, -7.8372e+01
3.13971695e+03, -4.5297e+01, -8.4458e+01
3.01084829e+03, -4.5115e+01, -8.3005e+01
2.88726900e+03, -4.4106e+01, -7.6055e+01
2.76876199e+03, -4.5504e+01, -8.0026e+01
2.65511905e+03, -4.2295e+01, -8.7361e+01
2.54614056e+03, -4.3978e+01, -8.2567e+01
2.44163505e+03, -4.2509e+01, -7.9937e+01
2.34141893e+03, -4.4169e+01, -9.3241e+01
2.24531616e+03, -4.2154e+01, -8.0823e+01
2.15315789e+03, -4.0605e+01, -8.1117e+01
2.06478223e+03, -4.2186e+01, -7.1704e+01
1.98003391e+03, -3.9409e+01, -7.3621e+01
1.89876407e+03, -3.9843e+01, -7.4099e+01
1.82082991e+03, -4.0292e+01, -7.7994e+01
1.74609454e+03, -4.0877e+01, -8.3693e+01
1.67442666e+03, -3.9443e+01, -7.3001e+01
1.60570037e+03, -3.9791e+01, -8.0273e+01
1.53979492e+03, -3.8085e+01, -7.7439e+01
1.47659454e+03, -3.7987e+01, -7.6108e+01
1.41598820e+03, -3.9354e+01, -7.6395e+01
1.35786942e+03, -3.9514e+01, -8.7311e+01
1.30213612e+03, -3.7761e+01, -7.5789e+01
1.24869036e+03, -3.7764e+01, -7.3466e+01
1.19743827e+03, -3.7388e+01, -8.2128e+01
1.14828981e+03, -3.6805e+01, -7.6064e+01
1.10115863e+03, -3.6241e+01, -8.4658e+01
1.05596193e+03, -3.6435e+01, -7.9944e+01
1.01262032e+03, -3.6229e+01, -8.5213e+01
9.71057650e+02, -3.6283e+01, -8.1412e+01
9.31200905e+02, -3.6214e+01, -7.7076e+01
8.92980068e+02, -3.5555e+01, -7.5991e+01
8.56327992e+02, -3.4745e+01, -8.3121e+01
8.21180289e+02, -3.5139e+01, -8.0773e+01
