# Moku:Go Oscilloscope
# Channel A (Input 1, on), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
# Channel B (Input 2, off), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
# Time span 320.6 us, time offset -160.3 us, Normal acquisition mode, no averaging
# Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
# Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
# Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
# 
# Acquired 2026-04-28 T 13:02:49 -0700
# Time (s), Channel A (Input 1) (V)
8.611200000000e-05, 2.063996e-01
8.643200000000e-05, 2.039570e-01
8.675200000000e-05, 2.051783e-01
8.707200000000e-05, 2.051783e-01
8.739200000000e-05, 2.039570e-01
8.771200000000e-05, 2.039570e-01
8.803200000000e-05, 2.051783e-01
8.835200000000e-05, 2.051783e-01
8.867200000000e-05, 2.039570e-01
8.899200000000e-05, 2.027357e-01
8.931200000000e-05, 2.039570e-01
8.963200000000e-05, 2.039570e-01
8.995200000000e-05, 2.051783e-01
9.027200000000e-05, 2.039570e-01
9.059200000000e-05, 2.039570e-01
9.091200000000e-05, 2.051783e-01
9.123200000000e-05, 2.039570e-01
9.155200000000e-05, 2.039570e-01
9.187200000000e-05, 2.039570e-01
9.219200000000e-05, 2.051783e-01
9.251200000000e-05, 2.027357e-01
9.283200000000e-05, 2.027357e-01
9.315200000000e-05, 2.039570e-01
9.347200000000e-05, 2.039570e-01
9.379200000000e-05, 2.039570e-01
9.411200000000e-05, 2.039570e-01
9.443200000000e-05, 2.039570e-01
9.475200000000e-05, 2.051783e-01
9.507200000000e-05, 2.051783e-01
9.539200000000e-05, 2.039570e-01
9.571200000000e-05, 2.051783e-01
9.603200000000e-05, 2.051783e-01
9.635200000000e-05, 2.039570e-01
9.667200000000e-05, 2.051783e-01
9.699200000000e-05, 2.051783e-01
9.731200000000e-05, 2.051783e-01
9.763200000000e-05, 2.051783e-01
9.795200000000e-05, 2.051783e-01
9.827200000000e-05, 2.039570e-01
9.859200000000e-05, 2.051783e-01
9.891200000000e-05, 2.039570e-01
9.923200000000e-05, 2.051783e-01
9.955200000000e-05, 2.039570e-01
9.987200000000e-05, 2.027357e-01
1.001920000000e-04, 2.039570e-01
1.005120000000e-04, 2.051783e-01
1.008320000000e-04, 2.027357e-01
1.011520000000e-04, 2.039570e-01
1.014720000000e-04, 2.027357e-01
1.017920000000e-04, 2.039570e-01
1.021120000000e-04, 2.039570e-01
1.024320000000e-04, 2.039570e-01
1.027520000000e-04, 2.027357e-01
1.030720000000e-04, 2.039570e-01
1.033920000000e-04, 2.027357e-01
1.037120000000e-04, 2.051783e-01
1.040320000000e-04, 2.051783e-01
1.043520000000e-04, 2.039570e-01
1.046720000000e-04, 2.051783e-01
1.049920000000e-04, 2.039570e-01
1.053120000000e-04, 2.039570e-01
1.056320000000e-04, 2.051783e-01
1.059520000000e-04, 2.039570e-01
1.062720000000e-04, 2.051783e-01
1.065920000000e-04, 2.063996e-01
1.069120000000e-04, 2.039570e-01
1.072320000000e-04, 2.051783e-01
1.075520000000e-04, 2.027357e-01
1.078720000000e-04, 2.039570e-01
1.081920000000e-04, 2.039570e-01
1.085120000000e-04, 2.039570e-01
1.088320000000e-04, 2.027357e-01
1.091520000000e-04, 2.051783e-01
1.094720000000e-04, 2.039570e-01
1.097920000000e-04, 2.051783e-01
1.101120000000e-04, 2.051783e-01
1.104320000000e-04, 2.039570e-01
1.107520000000e-04, 2.039570e-01
1.110720000000e-04, 2.027357e-01
1.113920000000e-04, 2.039570e-01
1.117120000000e-04, 2.051783e-01
1.120320000000e-04, 2.027357e-01
1.123520000000e-04, 2.039570e-01
1.126720000000e-04, 2.039570e-01
1.129920000000e-04, 2.039570e-01
1.133120000000e-04, 2.039570e-01
1.136320000000e-04, 2.039570e-01
1.139520000000e-04, 2.039570e-01
1.142720000000e-04, 2.039570e-01
1.145920000000e-04, 2.051783e-01
1.149120000000e-04, 2.051783e-01
1.152320000000e-04, 2.051783e-01
1.155520000000e-04, 2.039570e-01
1.158720000000e-04, 2.039570e-01
1.161920000000e-04, 2.051783e-01
1.165120000000e-04, 2.039570e-01
1.168320000000e-04, 2.051783e-01
1.171520000000e-04, 2.051783e-01
1.174720000000e-04, 2.039570e-01
1.177920000000e-04, 2.039570e-01
1.181120000000e-04, 2.039570e-01
1.184320000000e-04, 2.063996e-01
